Date,Customer_ID,Product_Category,Purchase_Amount,Payment_Method,Period
2023-07-13,C1560,Electronics,15.41,PayPal,Current
2023-07-13,C2628,Groceries,112.97,PayPal,Current
2023-07-13,C4367,Books,31.21,Debit Card,Current
2023-07-14,C4235,Clothing,129.79,Credit Card,Current
2023-07-14,C2134,Clothing,105.34,Credit Card,Current
2023-07-14,C4794,Electronics,1087.14,PayPal,Current
2023-07-14,C3004,Groceries,110.95,Cash,Current
2023-07-14,C4394,Electronics,98.83,Debit Card,Current
2023-07-14,C4691,Clothing,269.39,Credit Card,Current
2023-07-14,C4128,Clothing,9.86,Credit Card,Current
2023-07-14,C4926,Electronics,125.14,Credit Card,Current
2023-07-15,C1915,Electronics,89.76,Credit Card,Current
2023-07-15,C3508,Home & Garden,140.18,Debit Card,Current
2023-07-15,C1028,Clothing,658.74,PayPal,Current
2023-07-15,C2148,Electronics,64.77,Credit Card,Current
2023-07-15,C3164,Home & Garden,16.59,Credit Card,Current
2023-07-15,C1868,Books,160.51,Credit Card,Current
2023-07-15,C4486,Electronics,106.17,Debit Card,Current
2023-07-15,C4099,Electronics,179.58,Credit Card,Current
2023-07-16,C3889,Groceries,96.97,Credit Card,Current
2023-07-16,C1314,Clothing,132.59,Debit Card,Current
2023-07-16,C4985,Electronics,37.66,Debit Card,Current
2023-07-16,C2221,Clothing,155.21,Credit Card,Current
2023-07-16,C3665,Books,439.29,PayPal,Current
2023-07-16,C1922,Groceries,88.18,PayPal,Current
2023-07-16,C4584,Groceries,66.14,Credit Card,Current
2023-07-16,C4483,Groceries,91.96,Credit Card,Current
2023-07-17,C1969,Electronics,950.13,Credit Card,Current
2023-07-17,C3248,Clothing,146.92,Credit Card,Current
2023-07-17,C2061,Books,284.42,Debit Card,Current
2023-07-17,C3144,Electronics,49.67,Credit Card,Current
2023-07-17,C4880,Groceries,122.57,Credit Card,Current
2023-07-17,C1402,Electronics,55.64,Debit Card,Current
2023-07-17,C3725,Books,83.55,Credit Card,Current
2023-07-17,C1896,Clothing,99.9,Cash,Current
2023-07-17,C3486,Electronics,158.33,PayPal,Current
2023-07-18,C4326,Electronics,348.57,Credit Card,Current
2023-07-18,C2564,Groceries,29.87,Credit Card,Current
2023-07-18,C4258,Clothing,84.91,Debit Card,Current
2023-07-18,C2233,Electronics,48.56,Credit Card,Current
2023-07-18,C3740,Groceries,44.5,Credit Card,Current
2023-07-18,C2521,Clothing,645.85,Cash,Current
2023-07-18,C3810,Clothing,42.41,Cash,Current
2023-07-18,C4245,Clothing,25.12,Credit Card,Current
2023-07-19,C3231,Electronics,204.21,PayPal,Current
2023-07-19,C2093,Groceries,79.97,Debit Card,Current
2023-07-19,C1580,Groceries,153.16,Credit Card,Current
2023-07-19,C1223,Clothing,154.12,PayPal,Current
2023-07-19,C3272,Clothing,341.81,PayPal,Current
2023-07-19,C4657,Electronics,55.5,PayPal,Current
2023-07-20,C3439,Electronics,44.99,Debit Card,Current
2023-07-20,C4535,Electronics,113.14,PayPal,Current
2023-07-20,C4372,Electronics,43.25,Debit Card,Current
2023-07-20,C3906,Electronics,33.28,Credit Card,Current
2023-07-20,C2850,Clothing,50.15,Credit Card,Current
2023-07-20,C3283,Electronics,70.26,Credit Card,Current
2023-07-21,C3456,Electronics,126.82,PayPal,Current
2023-07-21,C2545,Electronics,69.28,PayPal,Current
2023-07-21,C3986,Electronics,45.13,Credit Card,Current
2023-07-21,C4908,Clothing,106.73,Debit Card,Current
2023-07-22,C2105,Electronics,53.67,Debit Card,Current
2023-07-22,C2552,Electronics,127.03,Debit Card,Current
2023-07-22,C1564,Electronics,591.16,PayPal,Current
2023-07-22,C3042,Clothing,48.05,Debit Card,Current
2023-07-22,C2391,Electronics,658.55,PayPal,Current
2023-07-22,C1813,Clothing,276.98,Credit Card,Current
2023-07-23,C2502,Electronics,41.9,PayPal,Current
2023-07-23,C2982,Home & Garden,112.22,PayPal,Current
2023-07-23,C2850,Electronics,124.9,Credit Card,Current
2023-07-23,C4576,Clothing,155.26,Credit Card,Current
2023-07-23,C4074,Electronics,39.67,PayPal,Current
2023-07-23,C4799,Electronics,300.46,Credit Card,Current
2023-07-23,C3034,Home & Garden,160.35,PayPal,Current
2023-07-23,C1067,Electronics,50.38,Credit Card,Current
2023-07-24,C3266,Electronics,183.53,Debit Card,Current
2023-07-24,C2169,Electronics,147.2,Credit Card,Current
2023-07-24,C1602,Electronics,129.03,PayPal,Current
2023-07-25,C3910,Electronics,81.58,Credit Card,Current
2023-07-25,C2164,Groceries,109.55,Cash,Current
2023-07-25,C1370,Electronics,119.49,Credit Card,Current
2023-07-25,C4672,Home & Garden,48.3,Cash,Current
2023-07-25,C3415,Groceries,60.5,PayPal,Current
2023-07-26,C1162,Clothing,23.96,Credit Card,Current
2023-07-26,C2139,Electronics,42.7,Debit Card,Current
2023-07-26,C2397,Home & Garden,540.75,PayPal,Current
2023-07-26,C1199,Electronics,59.53,Credit Card,Current
2023-07-26,C2152,Electronics,197.41,Credit Card,Current
2023-07-26,C4745,Clothing,421.69,Credit Card,Current
2023-07-26,C1545,Electronics,16.26,Credit Card,Current
2023-07-26,C2173,Home & Garden,61.58,PayPal,Current
2023-07-27,C1118,Books,35.67,Credit Card,Current
2023-07-27,C3744,Home & Garden,190.87,PayPal,Current
2023-07-27,C4780,Electronics,99.36,Credit Card,Current
2023-07-27,C4443,Home & Garden,20.79,PayPal,Current
2023-07-27,C2632,Groceries,70.08,Debit Card,Current
2023-07-28,C3332,Clothing,132.87,Credit Card,Current
2023-07-28,C1777,Electronics,172.43,Credit Card,Current
2023-07-28,C3665,Electronics,238.47,PayPal,Current
2023-07-28,C1309,Electronics,35.23,Debit Card,Current
2023-07-29,C4460,Groceries,366.4,Debit Card,Current
2023-07-29,C4371,Groceries,196.19,Debit Card,Current
2023-07-29,C2099,Clothing,141.69,Cash,Current
2023-07-30,C3715,Groceries,34.82,PayPal,Current
2023-07-30,C4706,Groceries,45.28,Cash,Current
2023-07-30,C4155,Home & Garden,132.78,Debit Card,Current
2023-07-30,C1640,Clothing,203.67,PayPal,Current
2023-07-30,C4496,Books,103.07,PayPal,Current
2023-07-30,C1988,Clothing,96.77,PayPal,Current
2023-07-31,C4610,Clothing,94.12,Credit Card,Current
2023-07-31,C1771,Home & Garden,114.55,Credit Card,Current
2023-07-31,C3311,Clothing,15.97,Credit Card,Current
2023-07-31,C4075,Home & Garden,143.86,Credit Card,Current
2023-07-31,C2185,Groceries,429.79,PayPal,Current
2023-07-31,C3571,Electronics,154.38,PayPal,Current
2023-08-01,C3243,Electronics,35.83,Debit Card,Current
2023-08-01,C3510,Electronics,252.07,PayPal,Current
2023-08-01,C4905,Electronics,432.18,Credit Card,Current
2023-08-01,C3580,Clothing,306.15,PayPal,Current
2023-08-01,C2717,Electronics,255.42,PayPal,Current
2023-08-01,C4064,Home & Garden,655.95,PayPal,Current
2023-08-02,C1357,Books,40.45,PayPal,Current
2023-08-02,C4373,Home & Garden,41.0,Credit Card,Current
2023-08-03,C1508,Electronics,165.44,Credit Card,Current
2023-08-03,C1013,Clothing,50.04,Credit Card,Current
2023-08-03,C1061,Electronics,202.91,Credit Card,Current
2023-08-03,C4362,Home & Garden,77.93,Debit Card,Current
2023-08-03,C1215,Electronics,96.0,Debit Card,Current
2023-08-03,C2407,Electronics,74.37,PayPal,Current
2023-08-03,C4010,Books,36.78,Debit Card,Current
2023-08-04,C1065,Clothing,153.77,Debit Card,Current
2023-08-04,C4342,Electronics,26.93,Debit Card,Current
2023-08-04,C1048,Clothing,39.15,Debit Card,Current
2023-08-04,C3006,Electronics,84.71,PayPal,Current
2023-08-04,C3261,Electronics,601.95,Credit Card,Current
2023-08-04,C3594,Home & Garden,106.52,PayPal,Current
2023-08-04,C3446,Clothing,227.18,PayPal,Current
2023-08-04,C4769,Electronics,130.2,PayPal,Current
2023-08-05,C3667,Books,186.39,Credit Card,Current
2023-08-05,C3467,Clothing,22.42,PayPal,Current
2023-08-05,C1693,Electronics,14.77,Credit Card,Current
2023-08-05,C4569,Groceries,47.51,Cash,Current
2023-08-05,C3265,Home & Garden,644.2,Credit Card,Current
2023-08-06,C2015,Clothing,43.73,PayPal,Current
2023-08-06,C1926,Electronics,41.12,Credit Card,Current
2023-08-07,C2978,Electronics,47.32,Debit Card,Current
2023-08-07,C1421,Electronics,85.23,PayPal,Current
2023-08-07,C1207,Groceries,99.79,Credit Card,Current
2023-08-07,C2728,Clothing,177.93,Credit Card,Current
2023-08-07,C4761,Electronics,67.75,Debit Card,Current
2023-08-07,C3703,Groceries,412.75,Credit Card,Current
2023-08-07,C1551,Groceries,946.4,Debit Card,Current
2023-08-08,C2997,Books,309.49,PayPal,Current
2023-08-08,C4901,Electronics,61.6,Cash,Current
2023-08-08,C1343,Clothing,30.73,Debit Card,Current
2023-08-09,C3251,Electronics,127.39,Debit Card,Current
2023-08-09,C3803,Electronics,274.98,Credit Card,Current
2023-08-09,C2882,Clothing,246.48,Credit Card,Current
2023-08-09,C2723,Clothing,336.6,Debit Card,Current
2023-08-09,C3427,Groceries,41.79,PayPal,Current
2023-08-09,C1411,Books,103.18,Credit Card,Current
2023-08-10,C3371,Clothing,40.01,PayPal,Current
2023-08-10,C4516,Electronics,43.37,Debit Card,Current
2023-08-10,C3637,Electronics,292.21,PayPal,Current
2023-08-10,C2264,Clothing,136.29,Debit Card,Current
2023-08-11,C4242,Electronics,65.86,PayPal,Current
2023-08-11,C2089,Clothing,26.72,Credit Card,Current
2023-08-11,C3823,Electronics,26.4,PayPal,Current
2023-08-11,C1471,Electronics,31.46,Debit Card,Current
2023-08-11,C1158,Electronics,30.42,Debit Card,Current
2023-08-11,C3688,Electronics,113.48,PayPal,Current
2023-08-11,C1332,Clothing,92.7,PayPal,Current
2023-08-11,C4352,Electronics,53.9,Credit Card,Current
2023-08-11,C1492,Books,159.47,Cash,Current
2023-08-11,C2502,Books,18.35,Debit Card,Current
2023-08-12,C4310,Clothing,50.08,Credit Card,Current
2023-08-12,C4302,Electronics,121.4,Debit Card,Current
2023-08-13,C1081,Electronics,54.25,PayPal,Current
2023-08-13,C4590,Groceries,49.99,Credit Card,Current
2023-08-13,C2280,Clothing,117.51,Debit Card,Current
2023-08-13,C3022,Electronics,44.4,Cash,Current
2023-08-13,C2444,Clothing,224.36,Credit Card,Current
2023-08-14,C1188,Electronics,368.61,PayPal,Current
2023-08-14,C1317,Electronics,607.04,PayPal,Current
2023-08-14,C1283,Electronics,85.7,PayPal,Current
2023-08-14,C2548,Groceries,53.36,Credit Card,Current
2023-08-14,C2332,Electronics,74.06,PayPal,Current
2023-08-14,C2828,Groceries,60.53,Debit Card,Current
2023-08-15,C4990,Home & Garden,22.17,PayPal,Current
2023-08-15,C3707,Books,81.29,PayPal,Current
2023-08-15,C2374,Electronics,155.87,Credit Card,Current
2023-08-15,C4964,Groceries,99.66,PayPal,Current
2023-08-16,C4959,Electronics,56.09,Debit Card,Current
2023-08-16,C3383,Home & Garden,210.32,Debit Card,Current
2023-08-16,C3679,Electronics,63.3,Debit Card,Current
2023-08-17,C2934,Electronics,50.42,PayPal,Current
2023-08-17,C1348,Clothing,76.16,PayPal,Current
2023-08-17,C3656,Clothing,48.86,Credit Card,Current
2023-08-17,C1104,Electronics,124.83,PayPal,Current
2023-08-17,C4446,Books,326.79,PayPal,Current
2023-08-17,C1455,Clothing,64.63,Debit Card,Current
2023-08-17,C3561,Electronics,96.56,Debit Card,Current
2023-08-18,C3575,Electronics,400.35,Debit Card,Current
2023-08-18,C3735,Electronics,44.09,Credit Card,Current
2023-08-18,C2749,Electronics,7.61,Credit Card,Current
2023-08-18,C2875,Electronics,308.84,Debit Card,Current
2023-08-18,C3511,Electronics,67.25,Cash,Current
2023-08-19,C1226,Groceries,41.05,Cash,Current
2023-08-19,C4301,Books,147.2,Debit Card,Current
2023-08-19,C1079,Electronics,83.1,Credit Card,Current
2023-08-19,C3533,Home & Garden,242.09,Credit Card,Current
2023-08-19,C2394,Home & Garden,102.16,Credit Card,Current
2023-08-19,C3347,Electronics,26.98,Credit Card,Current
2023-08-20,C4147,Books,153.38,Credit Card,Current
2023-08-20,C3785,Groceries,91.32,PayPal,Current
2023-08-20,C2506,Electronics,82.76,Credit Card,Current
2023-08-20,C3835,Home & Garden,118.64,PayPal,Current
2023-08-20,C1887,Electronics,616.97,Credit Card,Current
2023-08-20,C3794,Electronics,54.32,Credit Card,Current
2023-08-21,C3842,Groceries,67.38,PayPal,Current
2023-08-21,C4856,Electronics,167.41,Debit Card,Current
2023-08-21,C2574,Electronics,113.08,Credit Card,Current
2023-08-21,C1313,Clothing,75.88,Credit Card,Current
2023-08-21,C4803,Electronics,51.97,Debit Card,Current
2023-08-21,C3607,Electronics,65.48,Credit Card,Current
2023-08-22,C1386,Clothing,205.84,Debit Card,Current
2023-08-22,C3933,Groceries,182.5,PayPal,Current
2023-08-22,C4218,Clothing,210.0,Debit Card,Current
2023-08-22,C2996,Clothing,76.05,Debit Card,Current
2023-08-23,C1236,Clothing,415.41,Credit Card,Current
2023-08-23,C2096,Clothing,48.27,PayPal,Current
2023-08-23,C2189,Groceries,143.72,Debit Card,Current
2023-08-23,C3282,Electronics,44.8,Debit Card,Current
2023-08-23,C2381,Books,36.8,Credit Card,Current
2023-08-24,C1044,Electronics,89.0,Credit Card,Current
2023-08-24,C4992,Electronics,363.69,PayPal,Current
2023-08-24,C1417,Books,565.74,PayPal,Current
2023-08-25,C1258,Home & Garden,85.87,Debit Card,Current
2023-08-25,C2459,Electronics,64.34,PayPal,Current
2023-08-25,C3760,Clothing,544.94,Credit Card,Current
2023-08-25,C4796,Electronics,328.87,Credit Card,Current
2023-08-25,C2080,Groceries,13.1,Debit Card,Current
2023-08-25,C2834,Books,23.44,Debit Card,Current
2023-08-26,C2840,Groceries,393.66,Debit Card,Current
2023-08-26,C2240,Clothing,298.44,Debit Card,Current
2023-08-26,C4592,Clothing,131.33,Credit Card,Current
2023-08-26,C4161,Clothing,55.88,PayPal,Current
2023-08-26,C3900,Groceries,495.72,Debit Card,Current
2023-08-26,C2278,Clothing,321.5,Debit Card,Current
2023-08-26,C1065,Clothing,92.85,Debit Card,Current
2023-08-26,C1662,Groceries,19.3,PayPal,Current
2023-08-27,C3064,Electronics,43.36,PayPal,Current
2023-08-27,C2311,Electronics,110.84,PayPal,Current
2023-08-27,C2399,Clothing,32.45,Debit Card,Current
2023-08-27,C1569,Clothing,166.93,PayPal,Current
2023-08-28,C3864,Clothing,46.36,Credit Card,Current
2023-08-28,C1203,Electronics,628.77,Credit Card,Current
2023-08-28,C2151,Clothing,72.07,Credit Card,Current
2023-08-28,C3651,Home & Garden,74.77,Credit Card,Current
2023-08-29,C3577,Electronics,75.49,Credit Card,Current
2023-08-29,C4681,Electronics,45.74,PayPal,Current
2023-08-30,C4250,Groceries,102.78,Credit Card,Current
2023-08-30,C3241,Clothing,290.15,PayPal,Current
2023-08-30,C4717,Electronics,34.22,PayPal,Current
2023-08-30,C3142,Electronics,170.84,Credit Card,Current
2023-08-31,C2687,Home & Garden,60.83,PayPal,Current
2023-08-31,C3689,Clothing,26.21,Credit Card,Current
2023-08-31,C3521,Home & Garden,111.79,Debit Card,Current
2023-08-31,C2492,Groceries,32.73,PayPal,Current
2023-08-31,C2968,Groceries,161.79,Credit Card,Current
2023-08-31,C2191,Electronics,37.54,Debit Card,Current
2023-09-01,C2755,Electronics,105.4,Credit Card,Current
2023-09-01,C4549,Electronics,141.3,Credit Card,Current
2023-09-01,C4377,Electronics,35.72,Cash,Current
2023-09-01,C3488,Electronics,139.92,Debit Card,Current
2023-09-02,C2042,Electronics,212.38,Credit Card,Current
2023-09-02,C3850,Electronics,468.8,Debit Card,Current
2023-09-02,C4129,Clothing,34.02,Credit Card,Current
2023-09-02,C3521,Groceries,29.99,PayPal,Current
2023-09-02,C4734,Groceries,1282.8,PayPal,Current
2023-09-03,C3214,Home & Garden,494.63,PayPal,Current
2023-09-03,C4350,Electronics,217.65,Debit Card,Current
2023-09-03,C3939,Clothing,76.74,Debit Card,Current
2023-09-03,C4691,Electronics,158.64,Cash,Current
2023-09-03,C2391,Clothing,61.86,Credit Card,Current
2023-09-03,C4320,Clothing,284.93,PayPal,Current
2023-09-04,C2932,Electronics,113.44,Credit Card,Current
2023-09-04,C4639,Electronics,161.58,Credit Card,Current
2023-09-04,C3990,Electronics,287.41,Credit Card,Current
2023-09-04,C4933,Electronics,106.08,PayPal,Current
2023-09-05,C1073,Groceries,149.26,PayPal,Current
2023-09-05,C3299,Electronics,46.02,PayPal,Current
2023-09-05,C1968,Clothing,400.69,Cash,Current
2023-09-06,C2390,Home & Garden,108.17,Credit Card,Current
2023-09-06,C1478,Groceries,180.38,Debit Card,Current
2023-09-06,C1677,Electronics,21.76,PayPal,Current
2023-09-06,C4115,Home & Garden,43.1,Debit Card,Current
2023-09-06,C1418,Electronics,154.86,PayPal,Current
2023-09-07,C1313,Electronics,41.46,Credit Card,Current
2023-09-07,C2659,Electronics,29.96,Credit Card,Current
2023-09-07,C4625,Electronics,31.04,PayPal,Current
2023-09-07,C1702,Electronics,114.67,Debit Card,Current
2023-09-07,C1636,Electronics,55.45,Credit Card,Current
2023-09-07,C3941,Groceries,194.72,PayPal,Current
2023-09-07,C3415,Groceries,45.71,PayPal,Current
2023-09-08,C3044,Electronics,79.81,PayPal,Current
2023-09-08,C4440,Clothing,603.42,PayPal,Current
2023-09-08,C3202,Electronics,165.94,Debit Card,Current
2023-09-08,C1306,Home & Garden,266.32,Debit Card,Current
2023-09-08,C4134,Clothing,341.28,Debit Card,Current
2023-09-08,C3497,Electronics,35.08,Credit Card,Current
2023-09-08,C1982,Clothing,77.39,Credit Card,Current
2023-09-09,C4802,Electronics,82.42,PayPal,Current
2023-09-09,C4636,Groceries,92.93,PayPal,Current
2023-09-09,C4861,Electronics,792.07,Debit Card,Current
2023-09-09,C1880,Electronics,16.2,Credit Card,Current
2023-09-09,C4336,Electronics,51.25,Credit Card,Current
2023-09-09,C2542,Electronics,120.4,Credit Card,Current
2023-09-09,C3264,Clothing,135.78,Credit Card,Current
2023-09-09,C3180,Electronics,166.9,Credit Card,Current
2023-09-09,C2104,Electronics,133.45,PayPal,Current
2023-09-10,C3738,Groceries,109.24,Credit Card,Current
2023-09-10,C4663,Electronics,154.25,PayPal,Current
2023-09-10,C3782,Electronics,293.48,Debit Card,Current
2023-09-10,C2226,Electronics,205.14,Credit Card,Current
2023-09-10,C4216,Electronics,223.93,PayPal,Current
2023-09-10,C1102,Electronics,235.86,PayPal,Current
2023-09-11,C2230,Home & Garden,113.56,Debit Card,Current
2023-09-11,C1048,Clothing,58.19,Debit Card,Current
2023-09-11,C1847,Clothing,697.0,Debit Card,Current
2023-09-11,C1664,Electronics,167.65,Credit Card,Current
2023-09-11,C2191,Electronics,46.93,Credit Card,Current
2023-09-11,C3400,Electronics,116.08,Credit Card,Current
2023-09-12,C1258,Electronics,28.69,Credit Card,Current
2023-09-12,C1628,Electronics,848.36,Credit Card,Current
2023-09-12,C2173,Electronics,10.14,Debit Card,Current
2023-09-12,C4438,Clothing,277.84,Debit Card,Current
2023-09-12,C1229,Clothing,72.34,PayPal,Current
2023-09-12,C1636,Clothing,416.78,PayPal,Current
2023-09-12,C4587,Electronics,36.05,Debit Card,Current
2023-09-12,C2036,Electronics,211.91,Debit Card,Current
2023-09-12,C1403,Electronics,10.59,Credit Card,Current
2023-09-12,C1845,Electronics,105.43,Credit Card,Current
2023-09-13,C1041,Electronics,77.93,PayPal,Current
2023-09-13,C1544,Electronics,134.92,PayPal,Current
2023-09-13,C2013,Clothing,150.9,PayPal,Current
2023-09-13,C2701,Home & Garden,244.72,Debit Card,Current
2023-09-13,C4064,Clothing,240.33,Cash,Current
2023-09-13,C4578,Electronics,26.75,PayPal,Current
2023-09-13,C2065,Electronics,181.1,Cash,Current
2023-09-14,C3463,Electronics,6.31,Credit Card,Current
2023-09-14,C3920,Electronics,72.49,Credit Card,Current
2023-09-14,C3156,Groceries,12.49,PayPal,Current
2023-09-15,C4397,Electronics,390.96,PayPal,Current
2023-09-15,C4383,Electronics,98.71,PayPal,Current
2023-09-15,C3584,Electronics,20.21,Debit Card,Current
2023-09-15,C1218,Home & Garden,165.19,PayPal,Current
2023-09-16,C2216,Electronics,177.64,Credit Card,Current
2023-09-16,C4392,Groceries,148.13,Debit Card,Current
2023-09-16,C3063,Clothing,164.35,Credit Card,Current
2023-09-16,C1230,Home & Garden,534.14,Cash,Current
2023-09-16,C2649,Electronics,82.34,Debit Card,Current
2023-09-16,C3833,Groceries,288.45,Debit Card,Current
2023-09-16,C3540,Electronics,38.41,Credit Card,Current
2023-09-16,C3187,Electronics,25.99,PayPal,Current
2023-09-16,C2439,Clothing,208.49,Credit Card,Current
2023-09-17,C2917,Books,408.33,PayPal,Current
2023-09-17,C4535,Electronics,40.13,Debit Card,Current
2023-09-17,C1502,Clothing,49.44,PayPal,Current
2023-09-17,C4925,Electronics,163.73,Credit Card,Current
2023-09-17,C2158,Electronics,50.47,Debit Card,Current
2023-09-17,C4936,Clothing,100.79,Credit Card,Current
2023-09-17,C4309,Electronics,18.16,Debit Card,Current
2023-09-17,C2847,Groceries,75.34,Credit Card,Current
2023-09-17,C4682,Electronics,67.18,Credit Card,Current
2023-09-17,C1155,Electronics,73.91,PayPal,Current
2023-09-17,C1855,Groceries,240.77,Credit Card,Current
2023-09-18,C4681,Electronics,265.92,PayPal,Current
2023-09-18,C4230,Clothing,120.36,PayPal,Current
2023-09-18,C2101,Home & Garden,38.7,PayPal,Current
2023-09-18,C2312,Electronics,22.32,Debit Card,Current
2023-09-18,C1848,Groceries,62.62,PayPal,Current
2023-09-18,C4057,Home & Garden,32.73,Credit Card,Current
2023-09-19,C4189,Electronics,49.07,Debit Card,Current
2023-09-19,C2130,Clothing,109.1,Credit Card,Current
2023-09-19,C2860,Electronics,66.41,Debit Card,Current
2023-09-19,C2211,Electronics,211.3,PayPal,Current
2023-09-19,C4942,Electronics,669.87,Cash,Current
2023-09-19,C3475,Home & Garden,37.08,PayPal,Current
2023-09-20,C4992,Groceries,111.9,Credit Card,Current
2023-09-20,C2137,Electronics,136.56,PayPal,Current
2023-09-20,C1126,Electronics,308.25,Debit Card,Current
2023-09-20,C1276,Groceries,40.62,Credit Card,Current
2023-09-20,C4209,Electronics,78.53,PayPal,Current
2023-09-20,C2143,Electronics,107.65,PayPal,Current
2023-09-20,C3881,Clothing,26.16,Debit Card,Current
2023-09-20,C1639,Groceries,210.19,PayPal,Current
2023-09-20,C1969,Home & Garden,63.37,Credit Card,Current
2023-09-20,C4308,Electronics,280.75,Debit Card,Current
2023-09-21,C2244,Electronics,51.76,Credit Card,Current
2023-09-21,C4993,Electronics,68.06,Credit Card,Current
2023-09-21,C3084,Groceries,103.31,Credit Card,Current
2023-09-21,C4098,Home & Garden,54.75,Credit Card,Current
2023-09-22,C3607,Electronics,189.7,Credit Card,Current
2023-09-22,C2625,Electronics,152.65,PayPal,Current
2023-09-22,C4937,Clothing,58.42,Debit Card,Current
2023-09-22,C3790,Groceries,71.98,PayPal,Current
2023-09-22,C2131,Electronics,82.48,PayPal,Current
2023-09-22,C3550,Clothing,197.24,Cash,Current
2023-09-22,C4848,Groceries,303.29,Debit Card,Current
2023-09-23,C2207,Electronics,41.35,Credit Card,Current
2023-09-23,C1535,Electronics,94.03,Credit Card,Current
2023-09-23,C4749,Electronics,211.03,Credit Card,Current
2023-09-23,C3322,Electronics,126.86,Credit Card,Current
2023-09-23,C1899,Electronics,126.13,Credit Card,Current
2023-09-23,C3205,Electronics,106.77,Credit Card,Current
2023-09-23,C4151,Electronics,91.69,Debit Card,Current
2023-09-23,C1491,Clothing,56.67,Credit Card,Current
2023-09-23,C1727,Electronics,81.66,Credit Card,Current
2023-09-24,C4727,Home & Garden,171.4,PayPal,Current
2023-09-24,C3659,Electronics,64.7,Credit Card,Current
